,kcat_mw,flux,enz useage,enz ratio
ATPS4rpp_num2,785.7764332703833,67.03406131824181,0.08530933033871682,0.37581202792386265
PSERT,66.82055431361242,1.0945178926856618,0.01637995829170622,0.07215840657139304
ACCOAC,122.8972394701605,1.5881900937779485,0.012922911048490733,0.05692912356163318
GND,2633.490460762366,28.28181328470924,0.010739288296689698,0.047309640073522896
NADH16pp,1406.0991257413434,12.588540254022082,0.008952811379770238,0.03943969770823893
TKT2_num2,1156.9356495952572,9.046592509759725,0.007819443123672944,0.034446886007369795
PGL,5091.30359187137,28.28181328470924,0.005554925722729082,0.024471038426119304
PAPSR2_num2,33.78794652802424,0.16286479943097776,0.0048202041309582154,0.021234379431533987
KARA2,42.20989488868626,0.1911934900876932,0.004529589343728497,0.019954138078099103
ENO,2525.719295566477,7.894919721644985,0.003125810431706856,0.013770090007519189
GAPD,2950.953304530535,8.989437614330647,0.0030462825692732435,0.013419747001203715
ACGS,64.09472214801991,0.19465700436107564,0.0030370208004262206,0.013378946257384231
CYTBO3_4pp,20262.274526246278,60.48433427390398,0.002985071305571197,0.013150093857141837
PPC,665.2683192854789,1.9477921120138817,0.0029278293517807632,0.01289792665982715
SADT2,59.31020171396189,0.16286479943097776,0.00274598289542891,0.012096840949026034
ADSS,79.89892054235207,0.19696820750159133,0.002465217379215834,0.010859988454695303
IPPMIa_reverse,132.63461952397398,0.2964887989932107,0.0022353801749295152,0.009847489757398745
IPPMIb_reverse,132.63461952397398,0.2964887989932107,0.0022353801749295152,0.009847489757398745
3OAS121,48.6976314749095,0.0989947796154997,0.002032845882176114,0.008955268203419004
3OAS161,48.6976314749095,0.0989947796154997,0.002032845882176114,0.008955268203419004
3OAS141,48.6976314749095,0.0989947796154997,0.002032845882176114,0.008955268203419004
ASNS2_num1,99.35579984774941,0.15863527136047995,0.0015966382597047083,0.0070336487211661155
ACOTA_reverse_num4,126.39583047364023,0.19465700436107564,0.0015400587474416036,0.006784399768465214
IPPS,194.79153248638423,0.2964887989932107,0.0015220825834097024,0.006705209618544945
CTPS2,69.94794653508663,0.10563948864425564,0.0015102586119703422,0.006653121638635869
GLCptspp_num2,3921.1622486550177,5.401613911217824,0.0013775542986191429,0.006068521139291378
GLNS,779.7431622328804,1.0308656998177246,0.0013220580182655621,0.005824044133328468
CS,614.1594514994589,0.707570366450053,0.0011520955424890605,0.005075310759863703
CHORS,229.02544539437923,0.25080963259685457,0.0010951168860951813,0.004824303462974367
DHDPS,230.4218928205441,0.2441168831839152,0.0010594344148280952,0.004667111959595133
G6PDH2r,27447.210606978657,28.28181328470924,0.0010304075590660707,0.004539240348308681
AIRC3_reverse,288.72394939537406,0.29468761363014195,0.0010206552461174648,0.004496278617257554
ASPK_num3,726.9484516492262,0.7035455035779239,0.00096780659203798,0.004263465163162908
KDOPP,26.576652601969066,0.02560749903208395,0.0009635336479578579,0.004244641620959726
ANPRT,43.04510856357014,0.03740766517991232,0.0008690340535363665,0.003828343848177826
IMPC_reverse,429.41592241757144,0.3570335029008443,0.0008314398331826614,0.003662730542654896
CO2tex_reverse_num1,40867.014548933636,31.649401936216478,0.0007744485934571974,0.0034116678125867728
O2tex_num1,40867.014548933636,30.245029817379354,0.0007400841522486148,0.0032602826090247345
AIRC2,468.2082023484154,0.29468761363014195,0.0006293943851305092,0.0027726624895617145
ATPPRT,101.17726517578134,0.06234588927070232,0.000616204531347878,0.002714557406818846
TALA_num2,15465.441700742136,9.297402142356578,0.000601172751626643,0.0026483381128927
ILETA_reverse,321.1029084264644,0.1911934900876932,0.0005954274628797961,0.002623028470836106
ACLS_num2,982.4820046056723,0.5754099533867739,0.0005856697127167431,0.0025800427872984277
RBFSa,1.037992926069221,0.0005870140094731415,0.0005655279479563574,0.0024913125460632483
PGAMT_reverse,116.7463003379706,0.06218136740706076,0.0005326195967414042,0.002346341835865217
HSK,734.2328723000278,0.35814172217425466,0.00048777674724962203,0.002148796243390405
DHAD1,1276.4658652027294,0.5754099533867739,0.00045078365906430786,0.001985831097199594
KAS15,540.5689094239797,0.2342001633310555,0.0004332475642755979,0.0019085795783065987
PGM_reverse_num2,18656.26066481916,7.894919721644985,0.00042317803462795433,0.0018642204168632349
LEUTAi_num2,754.3491488478081,0.2964887989932107,0.00039303921724584336,0.0017314502962371954
HSDy_reverse_num1,1252.1590146536826,0.4594286203940088,0.00036690916650156916,0.0016163399405355469
PGI_reverse,49861.261310954134,18.28181328470924,0.00036665364661950234,0.0016152143022885566
PPCSCT,949.7657170248108,0.3454682739742169,0.00036374051808946503,0.0016023811369579957
ALATA_L_reverse_num1,1945.931906122487,0.6613818403638612,0.00033987923127369205,0.0014972653360074539
HISTD,191.25253605437803,0.06234588927070232,0.0003259872551597213,0.0014360672033467898
CYSTL_num2,332.4480552930015,0.10128689821975413,0.00030466984723518807,0.0013421579173356303
GHMT2r,2450.8547462601696,0.6981505026254688,0.00028486000799957524,0.0012548899030818293
PFL_num3,251.77306517958448,0.07164137456653072,0.00028454741382057856,0.0012535128362140024
ANS,131.56958376837278,0.03740766517991232,0.0002843184884263845,0.0012525043543012533
DAPDC,816.8947149113844,0.2258299489964268,0.00027644927170440134,0.001217838201340975
HEX1,16969.417700812435,4.598386088782176,0.00027098078259703756,0.0011937479409561125
3HAD100_num1,958.4716675599582,0.2342001633310556,0.0002443475078687237,0.001076420739509796
3HAD80_num1,958.4716675599582,0.2342001633310556,0.0002443475078687237,0.001076420739509796
3HAD60_num1,958.4716675599582,0.2342001633310555,0.0002443475078687236,0.0010764207395097954
UHGADA,105.72072271060652,0.02560749903208395,0.0002422183501543057,0.0010670411901070734
GARFT,987.699457784663,0.2215787040399284,0.0002243381853594545,0.0009882739443147774
SDPTA_reverse_num2,1091.065869822385,0.2441168831839152,0.00022374165477621904,0.0009856460562829032
ACONTb_num1,3364.673824555576,0.707570366450053,0.00021029389573698503,0.0009264048270351764
ACONTa_num1,3364.673824555576,0.707570366450053,0.00021029389573698503,0.0009264048270351764
XPPT,767.1573072191983,0.16006529539925296,0.00020864729292543625,0.0009191510701561068
